legacy_module,legacy_tool,responsibility,current_equivalent,current_owner,gap,decision,target_owner,migration_risk,replacement_evidence,source
unity_agent_mcp,agent.preview_execution,Compiled GraphのStep、Side Effect、必要ApprovalをRead-onlyでPreviewします。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.start_execution,RevisionとApprovalを再検証して協調Executionを開始します。StepはEditor Update境界でDomain Toolへ委譲し、Control PlaneはUnity APIを直接Mutationしません。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.submit_approval,Preview済みGraphのSide Effect Groupを明示承認し、一時Approval Tokenを発行します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.validate_workflow,Workflow StepのDomain、Tool Group、Tool、依存関係をRead-onlyで検証します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,medium: behavior or evidence parity,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_animation_mcp,animation.apply_parameter,承認済みPlanでAnimatorController Parameterを追加します。State／Transition／Clipは変更しません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic animation tool,high: mutation/approval or execution authority,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Animation/UnityAnimationMcpTools.cs
unity_animation_mcp,animation.get_support_matrix,Animation MCPの実装・非対象・未検証範囲を取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,UnityAgent deterministic animation tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Animation/UnityAnimationMcpTools.cs
unity_animation_mcp,animation.inspect,Loaded SceneのAnimatorと参照AnimatorController／ClipをRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic animation tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Animation/UnityAnimationMcpTools.cs
unity_animation_mcp,animation.prepare_parameter,既存AnimatorControllerへのParameter追加をExact Previewし、承認Tokenを発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic animation tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Animation/UnityAnimationMcpTools.cs
unity_animation_mcp,animation.validate,Animator Controller欠落、無効Parameter、Clip EventをRead-onlyで検証します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic animation tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Animation/UnityAnimationMcpTools.cs
unity_audio_mcp,audio.apply_source,承認済みAudioSource PlanをUndo対応で適用します。Clip／Mixer Assetは変更しません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic AudioSource tool,high: mutation/approval or execution authority,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Audio/UnityAudioMcp.cs
unity_audio_mcp,audio.get_support_matrix,Audio MCPの実装・未検証範囲を取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,UnityAgent deterministic AudioSource tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Audio/UnityAudioMcp.cs
unity_audio_mcp,audio.inspect,Loaded SceneのAudioSource、AudioClip、Mixer RoutingをRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic AudioSource tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Audio/UnityAudioMcp.cs
unity_audio_mcp,audio.prepare_source,AudioSourceのVolume、Pitch、Spatial Blend、Loop、Mute変更をExact Previewします。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic AudioSource tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Audio/UnityAudioMcp.cs
unity_audio_mcp,audio.validate,AudioSourceのClip、Volume、Pitch、Spatial DistanceをRead-onlyで検証します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic AudioSource tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Audio/UnityAudioMcp.cs
unity_cinematic_mcp,cinematic.apply_director,承認済みPlayableDirector PlanをUndo対応で適用します。Playable AssetとBindingは変更しません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Cinematic/UnityCinematicMcp.cs
unity_cinematic_mcp,cinematic.get_support_matrix,Cinematic MCPのCore Playables対応とOptional Package範囲を取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Cinematic/UnityCinematicMcp.cs
unity_cinematic_mcp,cinematic.inspect,Loaded SceneのPlayableDirector、Playable Asset、Output BindingをRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Cinematic/UnityCinematicMcp.cs
unity_cinematic_mcp,cinematic.prepare_director,PlayableDirectorのInitial Time、Update Mode、Wrap Mode、Play On Awake変更をExact Previewします。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Cinematic/UnityCinematicMcp.cs
unity_cinematic_mcp,cinematic.validate,Playable Asset欠落、Binding欠落、Time範囲をRead-onlyで検証します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Cinematic/UnityCinematicMcp.cs
unity_graphics_mcp,graphics.apply_environment_plan,承認済みEnvironment Planを一つのUnity Undo Transactionとして適用します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Mutation/EnvironmentMutation.cs
unity_graphics_mcp,graphics.apply_plan,prepare_light_planでPreview・承認されたExecutable Planを、一つのUnity Undo Transactionとして適用します。自動保存とBakeは行いません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.apply_save_plan,prepare_save_planで固定・承認された一つのDirty Sceneだけを明示的に保存します。Save Asと自動保存は行いません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/SaveTools.cs
unity_graphics_mcp,graphics.bake_dependencies,prepare_bake_planで固定・承認されたDependencyだけを同期Bakeします。自動Save、全Scene BakeへのFallback、Undo保証は行いません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/BakeTools.cs
unity_graphics_mcp,graphics.cancel_apv_bake,APV Bake JobへCancellationを要求し、停止後も生成済みOutputをPartial Resultとして記録します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.cancel_execution,Active Executionへ協調Cancellationを要求します。安全なCancellation Pointで停止します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/ExecutionTools.cs
unity_graphics_mcp,graphics.capture_evaluation,指定CameraからColor PNGをLibrary配下へ取得し、TargetTexture、Active RenderTexture、Scene Dirty状態を必ず復元します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/SaveTools.cs
unity_graphics_mcp,graphics.capture_evidence,指定CameraからColor、Linear Depth、Object IDを選択してCapture Evidence BundleをLibrary配下へ原子的に生成します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CaptureTools.cs
unity_graphics_mcp,graphics.compile_direction,構造化Visual Intentと対象Project事実から、Pipeline非依存のDirection PlanをRead-onlyで生成します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.evaluate_capture,Capture EvidenceをAcceptance Profileと外部Measurementで評価し、不合格理由をObject IDとPerformance Budgetへ関連付けます。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.get_apv_bake_status,APV Bake Jobの進行、出力差分、Partial Result、失敗理由、Cancellation状態を返します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.get_error_catalog,Hardening Error Code、再試行可能性、再実行開始点、復旧手順を取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/ExecutionTools.cs
unity_graphics_mcp,graphics.get_execution_history,保持中のTool実行履歴、構造化結果、DurationとMemory計測を取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/ExecutionTools.cs
unity_graphics_mcp,graphics.get_execution_status,Execution IDから進捗、Cancellation状態、Timeout、Trace参照先を取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/ExecutionTools.cs
unity_graphics_mcp,graphics.get_support_matrix,Unity Version、Render Pipeline、Capability、Execution Recoveryの固定Support Matrixを取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/ExecutionTools.cs
unity_graphics_mcp,graphics.inspect_project,対象Unity Projectの検出済み事実と、今回要求されたTargetを分離してRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.inspect_scene,Loaded SceneのCamera、Light、Probe、Renderer、Material、Volume等をRead-onlyでSnapshot化し、Pagingして返します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.prepare_acceptance_profile,Visual Acceptanceの評価項目、Weight、最低合格値、Critical Failure、Reference Capture、Performance Budgetを固定します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.prepare_apv_bake_plan,APV Baking Set、Lighting Scenario、Scene集合、Pipeline Capability、Output RootをRead-onlyで固定します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.prepare_bake_plan,現在SessionのDirty Dependency SetからScene限定Lightmapまたは明示Reflection ProbeのExact Bake Planと別Approval Tokenを発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/BakeTools.cs
unity_graphics_mcp,graphics.prepare_environment_plan,Camera、Reflection Probe、Volumeの明示操作を正確な差分へ変換し、承認TokenをRead-onlyで発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Mutation/EnvironmentMutation.cs
unity_graphics_mcp,graphics.prepare_light_plan,Direction Planへ明示的なLIGHT_CREATE / LIGHT_UPDATEを関連付け、正確な差分と承認TokenをRead-onlyで発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.prepare_save_plan,一つのDirty Loaded SceneをRead-onlyで固定し、永続化用のExact Diffと一時承認Tokenを発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/SaveTools.cs
